Python Developer - Cloud Execution Environment,Ericsson (China) Communications Co.LTD 爱立信（中国）通信有限公司,上海-长宁区,1.5-2万\/月,06-07,五险一金 弹性工作 专业培训,外资（欧美）,5000-10000人,通信\/电信\/网络设备,python
Python开发工程师,深圳市风云实业有限公司,成都-青羊区,0.8-1.6万\/月,06-07,五险一金 员工旅游 餐饮补贴 绩效奖金 年终奖金 股票期权 弹性工作 定期体检,民营公司,150-500人,通信\/电信\/网络设备,python
Python软件开发工程师,英业达集团(天津)电子技术有限公司,天津-南开区,5-8千\/月,06-07,,外资（非欧美）,150-500人,计算机软件,python
高级开发工程师（c++\/Python）,武汉迎风聚智科技有限公司,武汉,18-25万\/年,06-07,五险一金 项目奖 专业培训 扁平化管理 团队聚餐 免费员工宿舍 发展空间大,民营公司,50-150人,计算机软件,python
Python算法工程师,深析智能科技有限公司,天津-西青区,1.2-2万\/月,06-07,五险一金 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 员工旅游 节假日福利 带薪年假 员工聚餐,民营公司,50-150人,计算机软件,python
Python开发工程师,深圳市博悦科创科技有限公司,深圳-南山区,1-1.6万\/月,06-07,五险一金 年终奖金 员工旅游 定期体检,民营公司,500-1000人,计算机软件,python
python工程师\/实习生,青岛盛鑫互联网科技有限公司,青岛-市南区,4.5-6千\/月,06-07,带薪年假 绩效奖金 专业培训 加班补贴 住房补贴 餐饮补贴 包住宿 员工旅游 五险一金,民营公司,50-150人,互联网\/电子商务,python
Python开发工程师（黄岛区）,青岛艾德软件有限公司,青岛-黄岛区,0.5-1万\/月,06-07,,民营公司,少于50人,计算机软件,python
python老师\/python讲师\/少儿编程\/课程研发+五险一金,广州编辅侠教育科技有限公司,广州-白云区,6-8千\/月,06-07,带薪年假 五险一金 全勤奖 节日福利 生日会 绩效奖金 年终奖金 专业培训 员工旅游,民营公司,150-500人,教育\/培训\/院校,python
python 数据编译工程师,武汉光庭信息技术股份有限公司,武汉,0.8-1.5万\/月,06-07,五险一金 补充医疗保险 定期体检 弹性工作 年终奖金 免费班车 专业培训 绩效奖金 出国机会,民营公司,1000-5000人,计算机软件,python
Python开发工程师,深圳市永达电子信息股份有限公司,深圳-南山区,1.5-2万\/月,06-07,五险一金 员工旅游 绩效奖金 弹性工作 定期体检 节日福利 文体活动,民营公司,150-500人,计算机软件,python
Python脚本开发-杭州-双休13薪+,江苏润和软件股份有限公司,杭州-滨江区,1.2-2.5万\/月,06-07,,民营公司,5000-10000人,计算机软件,python
Python后端开发,中国联合网络通信有限公司珠海市分公司,珠海-香洲区,0.6-1万\/月,06-07,五险一金 商业意外险 重疾险 餐饮补贴 交通补贴 通讯补贴 绩效奖金 年终奖金 定期体检,国企,500-1000人,通信\/电信\/网络设备,python
Python大数据开发工程师,腾讯RDM,深圳-南山区,1.5-2.5万\/月,06-07,免费班车 弹性工作 节日福利 免费早餐 带薪年假 五险一金 绩效奖金 专业培训 商业保险 住房补贴,上市公司,1000-5000人,计算机软件,python
Python Developer,IBM China,深圳-南山区,1.1-2.1万\/月,06-07,,外资（欧美）,1000-5000人,计算机服务(系统、数据服务、维修),python
Python后端开发工程师,网易集团,广州-黄埔区,1.5-3万\/月,06-07,五险一金 餐饮补贴 免费班车 年终奖金 绩效奖金,上市公司,10000人以上,网络游戏,python
25923-后台开发工程师（Python\/PHP\/GO）（深圳）,深圳市腾讯计算机系统有限公司,深圳,""",""workarea"":""040000",06-07,,民营公司,10000人以上,互联网\/电子商务,python
Python开发工程师（研发效率方向）,字节跳动,上海,2.5-5万\/月,06-07,六险一金 弹性工作 带薪休假 租房补贴 免费三餐 扁平管理 健身瑜伽 下午茶 用户过亿 大牛带队,民营公司,10000人以上,互联网\/电子商务,python
Python开发工程师,富士康科技集团中央网通服务总处,深圳,0.6-1万\/月,06-01,周末双休 高温补贴 带薪年假 五险一金 做五休二 节日福利,外资（非欧美）,10000人以上,电子技术\/半导体\/集成电路,python
Python后端开发工程师,盛趣信息技术（上海）有限公司,上海-浦东新区,1.5-2.5万\/月,05-31,五险一金 餐饮补贴 弹性工作 通讯补贴 交通补贴,民营公司,1000-5000人,互联网\/电子商务,python
Python开发工程师,富士康科技集团人资总处,深圳-龙华区,1-1.5万\/月,05-31,五险一金 专业培训 绩效奖金 年终奖金 定期体检 员工旅游 周末双休 年底双薪,外资（非欧美）,10000人以上,通信\/电信\/网络设备,python
Software Developer(python developer),Cisco 思科系统（中国）,大连,0.7-1.3万\/月,05-28,弹性工作 带薪年假 绩效奖金 节日福利 住房补贴 通讯补贴,外资（欧美）,500-1000人,通信\/电信\/网络设备,python
后端开发工程师（python）,中国移动通信有限公司研究院,北京,1.5-3万\/月,05-12,年底双薪 绩效奖金 带薪年假 五险一金 午餐补助,国企,1000-5000人,通信\/电信\/网络设备,python
Senior python,花旗金融信息服务（中国）有限公司Citigroup Services and Technology (China) Limited.,上海-浦东新区,2.5-3万\/月,05-02,五险一金 补充医疗保险 员工旅游 餐饮补贴 专业培训 出国机会 弹性工作 定期体检 房贷贴息,外资（欧美）,1000-5000人,金融\/投资\/证券,python
Python开发工程师,爱立信信息技术服务（中国）有限公司,郑州,0.8-1.4万\/月,04-12,专业培训 丰富集体活动 五险一金 补充医疗保险 定期体检 弹性工作 绩效奖金,外资（欧美）,150-500人,通信\/电信运营、增值服务,python
Senior - Audit Innovation (Python Develop) - Shanghai,德勤中国,上海,""",""workarea"":""020000",04-09,,合资,500-1000人,专业服务(咨询、人力资源、财会),python
Python软件开发,中软国际科技服务有限公司,武汉,1-1.5万\/月,06-07,五险一金 免费班车 绩效奖金 年终奖金 弹性工作 定期体检 员工旅游,合资,10000人以上,计算机软件,python
JAVA\/Python开发工程师,江苏富士通通信技术有限公司,苏州-高新区,0.6-1万\/月,06-07,五险一金 补充医疗保险 员工旅游 餐饮补贴 绩效奖金 定期体检 交通补贴 提供住宿 年终奖金,外资（非欧美）,150-500人,通信\/电信运营、增值服务,python
后端工程师（Python\/C#),江森自控（中国）投资有限公司,北京-东城区,""",""workarea"":""010100",06-07,绩效奖金,外资（欧美）,5000-10000人,机械\/设备\/重工,python
Python开发工程师,广州多益网络股份有限公司,广州-黄埔区,0.9-2万\/月,06-07,互联网百强,民营公司,1000-5000人,网络游戏,python
后端开发工程师（Java、Python),圆通速递有限公司,上海-青浦区,1.5-2万\/月,06-04,五险一金 专业培训 餐饮补贴 免费班车 包住宿 带薪年假 免费停车 周末双休,上市公司,10000人以上,交通\/运输\/物流,python
Python开发工程师,塔塔信息技术（中国）股份有限公司,杭州-上城区,""",""workarea"":""080202",05-31,,外资（非欧美）,1000-5000人,计算机服务(系统、数据服务、维修),python
python开发工程师,上海连尚网络科技有限公司,上海-浦东新区,2-2.5万\/月,05-20,五险一金 补充医疗保险 补充公积金 免费班车 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 出国机会,民营公司,500-1000人,互联网\/电子商务,python
python服务端开发工程师(004941),奇安信集团,武汉-洪山区,1-1.5万\/月,05-16,,民营公司,5000-10000人,互联网\/电子商务,python
Python开发工程师,阿拉丁试剂（上海）有限公司,上海,1-1.5万\/月,04-07,五险一金 定期体检 餐饮补贴 年终奖金 做五休二 全勤奖,上市公司,150-500人,学术\/科研,python
Python开发,华夏银行股份有限公司信用卡中心,北京,""",""workarea"":""010000",06-07,,国企,5000-10000人,金融\/投资\/证券,python
Python开发工程师,大连亿达信息技术有限公司深圳分公司,广州-天河区,1.1-2万\/月,06-07,,民营公司,500-1000人,计算机软件,python
Python开发工程师,诚迈科技（武汉分公司）―武汉诚迈科技有限公司,武汉-东湖新技术产业开发区,""",""workarea"":""180215",06-07,,外资（欧美）,500-1000人,计算机软件,python
高级Python开发工程师 (MJ000571),上海诺亚金融服务有限公司,上海-杨浦区,2.5-3.5万\/月,06-07,五险一金 通讯补贴 年终奖金 弹性工作 定期体检,上市公司,1000-5000人,金融\/投资\/证券,python
系统研发-python软件工程师,浙江大立科技股份有限公司,杭州-滨江区,10-20万\/年,06-07,高温补贴 加班补贴 交通补贴 周末双休 五险一金 全勤奖 节日福利 免费班车,上市公司,500-1000人,电子技术\/半导体\/集成电路,python
Python开发工程师HD,鼎捷软件股份有限公司,南京,1.5-3万\/月,06-02,五险一金 补充医疗保险 补充公积金 专业培训 通讯补贴 餐饮补贴 定期体检,上市公司,1000-5000人,计算机软件,python
Python开发工程师,福建福诺移动通信技术有限公司,福州,1.3-2.1万\/月,05-31,五险一金 补充医疗保险 员工旅游 交通补贴 餐饮补贴 通讯补贴 专业培训 绩效奖金 年终奖金 定期体检,合资,150-500人,通信\/电信\/网络设备,python
Python开发工程师,广州广电运通金融电子股份有限公司,广州,1.2-1.6万\/月,05-28,五险一金 补充医疗保险 免费班车 员工旅游 餐饮补贴 定期体检 专业培训 年终奖金,上市公司,10000人以上,多元化业务集团公司,python
Python开发工程师,武汉佰钧成技术有限责任公司,深圳-龙华区,1.5-2.5万\/月,05-28,五险一金 补充医疗保险 弹性工作 定期体检 带薪年假 定期团建,民营公司,10000人以上,计算机软件,python
python开发工程师,深圳市紫金支点技术股份有限公司,深圳-南山区,1.2-1.5万\/月,05-26,五险一金 餐饮补贴 通讯补贴 定期体检 专业培训 年终奖金 补充医疗保险 股票期权,民营公司,1000-5000人,计算机软件,python
机器学习\/python工程师,广发银行股份有限公司信用卡中心,佛山-南海区,1.5-2万\/月,05-24,五险一金 绩效奖金 专业培训 补充医疗保险 定期体检 餐饮补贴 年终奖金,国企,10000人以上,银行,python
python后端开发工程师,深圳中青宝互动网络股份有限公司,深圳,1.5-2万\/月,05-24,周末双休 五险一金 绩效奖金 包三餐 节日福利,上市公司,500-1000人,网络游戏,python
Python开发工程师,中电金信软件有限公司,深圳-南山区,1.4-2万\/月,05-18,转正机会 轻松 愉悦,国企,10000人以上,计算机软件,python
python开发（web方向）,中电文思海辉,无锡,1-1.5万\/月,05-11,,外资（欧美）,10000人以上,计算机软件,python
Python开发工程师,欧普照明股份有限公司,上海-闵行区,15-20万\/年,04-17,五险一金 交通补贴 餐饮补贴 通讯补贴 出国机会 绩效奖金 年终奖金 弹性工作 定期体检,上市公司,5000-10000人,家具\/家电\/玩具\/礼品,python
Python开发工程师,成都思而科软件有限公司,成都-高新区,1-1.8万\/月,06-07,五险一金 餐饮补贴 出国机会 年终奖金 弹性工作,合资,150-500人,计算机软件,python
Python软件开发工程师,浙江荷清柔性电子技术有限公司,杭州-江干区,1.5-2万\/月,06-07,,民营公司,150-500人,电子技术\/半导体\/集成电路,python
Python Web开发工程师,浙江优创信息技术有限公司,上海-浦东新区,1-1.5万\/月,06-07,五险一金 专业培训 年终奖金 员工宿舍 餐饮补贴,民营公司,500-1000人,计算机软件,python
Python高级开发工程师,智昌科技集团股份有限公司,北京-海淀区,3-4万\/月,06-07,五险一金 专业培训 弹性工作 年终奖金 定期体检,民营公司,500-1000人,仪器仪表\/工业自动化,python
Python开发工程师,深圳市缔造网络科技有限公司,深圳-南山区,1-1.5万\/月,06-07,五险一金 员工旅游 绩效奖金 年终奖金 股票期权 弹性工作,民营公司,少于50人,计算机软件,python
中高级Python开发工程师--福田,信必优(深圳)信息技术有限公司,深圳-福田区,1-1.6万\/月,06-07,五险一金 补充医疗保险 周末双休 绩效奖金 年终奖金 定期体检,外资（欧美）,1000-5000人,计算机软件,python
Python后台开发工程师,重庆科斯迈生物科技有限公司,重庆-渝北区,0.8-1万\/月,06-07,餐饮补贴 定期体检 年终奖金 绩效奖金 弹性工作 五险一金 交通补贴 专业培训 员工旅游,民营公司,150-500人,医疗设备\/器械,python
中级Python开发工程师,深圳市海云天科技股份有限公司,深圳-南山区,1-1.5万\/月,06-07,五险一金 补充医疗保险 员工旅游 交通补贴 餐饮补贴 通讯补贴 绩效奖金 年终奖金 股票期权 定期体检,民营公司,500-1000人,计算机软件,python
python数据工程师,上海迦倍机电科技有限公司,上海-宝山区,0.8-1.5万\/月,06-07,五险一金 员工旅游 餐饮补贴 专业培训 绩效奖金 年终奖金,民营公司,少于50人,机械\/设备\/重工,python
Python后端开发工程师,南京四象新能源科技有限公司,南京-江宁区,1.2-1.8万\/月,06-07,五险一金 股票期权 弹性工作 定期体检 年终奖金,民营公司,少于50人,新能源,python
Python开发工程师,珠海天海风云科技有限公司,珠海-珠海高新区,0.6-1.3万\/月,06-07,五险一金 年终奖金 绩效奖金 周末双休,民营公司,少于50人,计算机软件,python
Python开发工程师,广东蓝海项目管理有限公司,广州-海珠区,1.3-2万\/月,06-07,绩效奖金 弹性工作 五险一金 交通补贴 面试协商 通讯补贴 餐饮补贴 专业培训 年终奖金,民营公司,50-150人,计算机服务(系统、数据服务、维修),python
某外资500强- Python后端开发工程师,江苏超正科技有限公司,上海-嘉定区,1.4-2万\/月,06-07,五险一金 周末双休 加班补贴 交通补贴 餐饮补贴,民营公司,150-500人,计算机软件,python
后台开发工程师\/ Python 开发工程师,上海礼遇实业有限公司,上海-普陀区,1-1.5万\/月,06-07,做五休二 带薪年假 五险一金 交通补贴 餐饮补贴 住房补贴 通讯补贴 节日福利,民营公司,150-500人,家具\/家电\/玩具\/礼品,python
Python开发工程师,昆山双宇新信息科技有限公司,上海,6-8千\/月,06-07,五险一金 年终奖金 绩效奖金 员工旅游 餐饮补贴 出国机会,民营公司,少于50人,计算机软件,python
Python\/Go开发（北京）,北京旷视科技有限公司,北京-海淀区,1.8-3.5万\/月,06-07,,民营公司,1000-5000人,计算机软件,python
高级Python开发工程师(J10261),上海百胜软件股份有限公司,上海,2-3万\/月,06-07,五险一金 补充公积金 年终奖金 专业培训 绩效奖金,上市公司,500-1000人,计算机软件,python
Python开发工程师,杭州对聪易智能科技有限责任公司,杭州-下城区,0.8-1万\/月,06-07,交五险 餐饮补贴 专业培训 年终奖金 绩效奖金 股票期权,民营公司,少于50人,计算机软件,python
Python开发工程师,浙江森马服饰股份有限公司,上海-闵行区,0.8-1.1万\/月,06-07,绩效奖金 节日福利 上市公司 专业培训 五险一金 定期体检 弹性工作 通讯补贴 交通补贴,民营公司,1000-5000人,多元化业务集团公司,python
Python开发工程师,科沃斯商用机器人有限公司,苏州-吴中区,1-2万\/月,06-07,五险一金 交通补贴 年终奖金 员工旅游 定期体检,上市公司,500-1000人,电子技术\/半导体\/集成电路,python
Python开发工程师,深圳市利朗达科技有限公司,深圳,2-2.5万\/月,06-07,交通补贴 弹性工作 入职社保 团建活动 工作餐 年度调薪 每月生日会 带薪年假 免费下午茶 专业培训,民营公司,1000-5000人,互联网\/电子商务,python
Python-odoo后端开发工程师,上海利仁餐饮有限公司,上海-松江区,1.1-2万\/月,06-07,包三餐 包住宿 五险一金 包吃 带薪年假,民营公司,1000-5000人,餐饮业,python
Python工程师,上海大锣哥数据科技有限公司,上海-徐汇区,15-25万\/年,06-07,五险一金 补充医疗保险 员工旅游 餐饮补贴 绩效奖金 定期体检,外资（非欧美）,少于50人,互联网\/电子商务,python
python开发工程师,上海庆科信息技术有限公司,上海-普陀区,1.5-2万\/月,06-07,餐饮补贴 定期体检 弹性工作 专业培训 绩效奖金 年终奖金 员工旅游,民营公司,150-500人,互联网\/电子商务,python
